epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.881,1.93612,3.42895,1.48963,0.00997,0.36099,0.11974,0.07522,1.21524,7.02738,0.69037,0.00025722,0.00025722,0.00025722
2,211.316,1.39236,1.59418,1.0725,0.01226,0.19851,0.11667,0.07908,1.19301,6.22435,0.66742,0.000518261,0.000518261,0.000518261
3,321.546,1.30161,1.30487,1.04166,0.89789,0.02685,0.12571,0.08487,1.21197,5.77107,0.67101,0.00076855,0.00076855,0.00076855
4,429.31,1.24789,1.15412,1.02849,0.71588,0.08089,0.09573,0.06476,1.3186,4.82405,0.72774,0.00100809,0.00100809,0.00100809
5,537.917,1.23027,1.11155,1.03958,0.58948,0.06832,0.10322,0.06777,1.26908,3.97179,0.73414,0.00123687,0.00123687,0.00123687
6,664.117,1.20434,1.03905,1.01583,0.59379,0.05354,0.07908,0.04881,1.33392,4.78568,0.77056,0.00128753,0.00128753,0.00128753
7,790.296,1.18403,0.98452,1.01958,0.45263,0.11589,0.10122,0.06824,1.1784,3.01714,0.68199,0.00125923,0.00125923,0.00125923
8,918.884,1.23485,0.96452,1.01619,0.48563,0.12459,0.14046,0.08281,1.20158,2.39564,0.69668,0.00123094,0.00123094,0.00123094
9,1051.29,1.15248,0.92532,1.00183,0.48793,0.12254,0.14117,0.08484,1.14812,2.13642,0.68512,0.00120265,0.00120265,0.00120265
10,1175.31,1.14663,0.87349,0.99141,0.61706,0.11092,0.11758,0.07521,1.10618,2.20321,0.68319,0.00117435,0.00117435,0.00117435
11,1311.82,1.1718,0.8648,1.01026,0.59852,0.13046,0.12386,0.07782,1.15999,1.9191,0.69334,0.00114606,0.00114606,0.00114606
12,1451.49,1.13525,0.81389,0.99055,0.5574,0.11876,0.11038,0.07257,1.0558,1.72568,0.6575,0.00111776,0.00111776,0.00111776
13,1589.11,1.12966,0.7812,0.98313,0.69311,0.1106,0.13026,0.08611,1.09095,1.79501,0.67717,0.00108947,0.00108947,0.00108947
14,1737.78,1.13301,0.79057,0.98713,0.65141,0.08547,0.1033,0.07363,1.04612,1.74246,0.6547,0.00106118,0.00106118,0.00106118
15,1888.61,1.11347,0.76634,0.98956,0.65273,0.10462,0.10968,0.06934,1.13365,1.6912,0.67193,0.00103288,0.00103288,0.00103288
16,2039.02,1.08589,0.72908,0.97622,0.45708,0.08844,0.10541,0.07075,1.0993,1.7207,0.67551,0.00100459,0.00100459,0.00100459
17,2199.92,1.11504,0.74204,0.97987,0.49295,0.09417,0.114,0.07496,1.08258,1.54119,0.66347,0.000976293,0.000976293,0.000976293
18,2355.63,1.08783,0.70233,0.97491,0.79139,0.09932,0.13303,0.09443,1.04081,1.54875,0.65999,0.000947999,0.000947999,0.000947999
19,2506.24,1.06804,0.68813,0.97127,0.71709,0.11511,0.14416,0.09777,1.04025,1.46244,0.64881,0.000919704,0.000919704,0.000919704
20,2651.77,1.04533,0.67432,0.96101,0.5514,0.11771,0.12959,0.08908,1.05619,1.47174,0.66148,0.00089141,0.00089141,0.00089141
21,2808.03,1.06867,0.66475,0.95797,0.7126,0.10832,0.13942,0.09629,1.05278,1.47627,0.66304,0.000863116,0.000863116,0.000863116
22,2965.02,1.05569,0.66013,0.95748,0.66494,0.14335,0.17449,0.11413,1.05295,1.61147,0.66481,0.000834822,0.000834822,0.000834822
23,3118.14,1.02581,0.63698,0.95724,0.62789,0.19255,0.2076,0.13369,1.04286,1.48023,0.66022,0.000806528,0.000806528,0.000806528
24,3280.1,1.08841,0.65991,0.95816,0.6763,0.1747,0.18712,0.1229,1.02952,1.32534,0.65601,0.000778233,0.000778233,0.000778233
25,3430.28,1.07007,0.648,0.97042,0.60344,0.22373,0.23629,0.1601,1.07741,1.27232,0.66316,0.000749939,0.000749939,0.000749939
26,3593.68,1.03247,0.62608,0.95529,0.66435,0.26941,0.27881,0.18328,1.04846,1.31181,0.6488,0.000721645,0.000721645,0.000721645
27,3751.31,1.03488,0.62144,0.94707,0.75407,0.30835,0.35173,0.23751,1.00057,1.22182,0.64257,0.000693351,0.000693351,0.000693351
28,3915.29,1.00636,0.60507,0.95023,0.68373,0.33871,0.37129,0.24732,1.00937,1.23405,0.65169,0.000665057,0.000665057,0.000665057
29,4087.51,1.021,0.59252,0.94188,0.89151,0.41898,0.47338,0.31456,1.04542,1.27159,0.6597,0.000636762,0.000636762,0.000636762
30,4254.54,1.00803,0.58678,0.94065,0.79694,0.42275,0.44701,0.29446,1.02593,1.20168,0.65251,0.000608468,0.000608468,0.000608468
31,4415.9,0.99775,0.58307,0.9406,0.90822,0.57783,0.63805,0.41629,1.03951,1.19453,0.65562,0.000580174,0.000580174,0.000580174
32,4586.27,0.98104,0.56805,0.93149,0.8952,0.45666,0.50632,0.32901,1.01504,1.12914,0.64766,0.00055188,0.00055188,0.00055188
33,4747.37,0.98033,0.56652,0.93838,0.75021,0.61559,0.61614,0.40993,1.02492,1.19785,0.64713,0.000523586,0.000523586,0.000523586
34,4914.13,0.96714,0.55667,0.9352,0.7513,0.39311,0.43244,0.27539,1.02225,1.17385,0.64944,0.000495291,0.000495291,0.000495291
35,5102.33,0.97293,0.55935,0.92638,0.86503,0.72599,0.78089,0.53635,0.99371,1.10033,0.64014,0.000466997,0.000466997,0.000466997
36,5271.83,0.93523,0.53788,0.92878,0.86329,0.65022,0.76858,0.52026,0.9976,1.18298,0.64584,0.000438703,0.000438703,0.000438703
37,5467.52,0.94391,0.53543,0.92964,0.89633,0.54541,0.61643,0.41313,0.99428,1.12233,0.63937,0.000410409,0.000410409,0.000410409
38,5681.3,0.95737,0.54472,0.92692,0.88143,0.50074,0.56124,0.36894,1.0163,1.11963,0.64558,0.000382115,0.000382115,0.000382115
39,5868.34,0.94686,0.53447,0.92847,0.80113,0.34287,0.35236,0.24185,1.00349,1.10273,0.64257,0.00035382,0.00035382,0.00035382
40,6067.85,0.93751,0.53272,0.93117,0.89614,0.70524,0.77917,0.5235,0.99669,1.04393,0.64599,0.000325526,0.000325526,0.000325526
41,6279.02,0.93004,0.53422,0.91638,0.79512,0.78497,0.82474,0.56475,1.01197,1.08927,0.64719,0.000297232,0.000297232,0.000297232
42,6487.99,0.91197,0.49895,0.91044,0.90241,0.73662,0.81854,0.55209,1.01686,1.08697,0.65349,0.000268938,0.000268938,0.000268938
43,6694.25,0.9097,0.48665,0.90629,0.9396,0.60732,0.70199,0.47075,1.02322,1.065,0.64738,0.000240644,0.000240644,0.000240644
44,6905.01,0.90522,0.48195,0.90317,0.88134,0.72532,0.80428,0.55077,1.01065,1.06904,0.64684,0.000212349,0.000212349,0.000212349
45,7100.43,0.8991,0.47428,0.89815,0.83473,0.66422,0.70627,0.47131,1.00261,1.04202,0.64618,0.000184055,0.000184055,0.000184055
46,7296.87,0.89815,0.46649,0.90839,0.84359,0.76504,0.82661,0.57056,1.00308,1.03517,0.64416,0.000155761,0.000155761,0.000155761
47,7499.11,0.88431,0.47417,0.89493,0.92368,0.72453,0.82907,0.5626,1.00121,1.02493,0.64516,0.000127467,0.000127467,0.000127467
